V (V)	I (A)
5.944E-1	6.012E-2
5.952E-1	6.033E-2
5.955E-1	6.048E-2
5.957E-1	6.052E-2
5.960E-1	6.067E-2
5.967E-1	6.085E-2
5.973E-1	6.109E-2
5.985E-1	6.155E-2
5.997E-1	6.187E-2
6.003E-1	6.207E-2
6.011E-1	6.242E-2
6.015E-1	6.250E-2
6.032E-1	6.309E-2
6.036E-1	6.330E-2
6.047E-1	6.365E-2
6.051E-1	6.376E-2
6.061E-1	6.408E-2
6.063E-1	6.417E-2
6.073E-1	6.457E-2
6.089E-1	6.514E-2
6.097E-1	6.532E-2
6.100E-1	6.545E-2
6.112E-1	6.587E-2
6.123E-1	6.634E-2
6.137E-1	6.678E-2
6.144E-1	6.697E-2
6.148E-1	6.718E-2
6.158E-1	6.751E-2
6.169E-1	6.797E-2
6.173E-1	6.805E-2
6.185E-1	6.847E-2
6.190E-1	6.860E-2
6.190E-1	6.860E-2
6.198E-1	6.897E-2
6.347E-1	7.441E-2
6.359E-1	7.479E-2
6.364E-1	7.491E-2
6.364E-1	7.491E-2
6.373E-1	7.534E-2
6.376E-1	7.543E-2
6.388E-1	7.587E-2
6.393E-1	7.600E-2
6.405E-1	7.645E-2
6.410E-1	7.670E-2
6.422E-1	7.710E-2
6.425E-1	7.724E-2
6.436E-1	7.763E-2
6.446E-1	7.806E-2
6.457E-1	7.846E-2
6.468E-1	7.882E-2
6.468E-1	7.882E-2
6.474E-1	7.911E-2
6.484E-1	7.946E-2
6.496E-1	7.995E-2
6.504E-1	8.016E-2
6.504E-1	8.016E-2
6.508E-1	8.042E-2
6.521E-1	8.086E-2
6.531E-1	8.121E-2
6.534E-1	8.134E-2
6.545E-1	8.176E-2
6.554E-1	8.217E-2
6.650E-1	8.659E-2
6.710E-1	8.815E-2
6.719E-1	8.856E-2
6.730E-1	8.893E-2
6.739E-1	8.933E-2
6.745E-1	8.953E-2
6.745E-1	9.061E-2
6.895E-1	9.561E-2
6.904E-1	9.593E-2
6.918E-1	9.647E-2
6.927E-1	9.690E-2
6.935E-1	9.727E-2
6.949E-1	9.785E-2
6.959E-1	9.815E-2
6.961E-1	9.828E-2
6.965E-1	9.838E-2
6.965E-1	9.843E-2
6.989E-1	1.001E-1
7.122E-1	1.050E-1
7.128E-1	1.051E-1
7.111E-1	1.044E-1
7.111E-1	1.045E-1
7.112E-1	1.045E-1
7.112E-1	1.045E-1
7.111E-1	1.044E-1
7.111E-1	1.044E-1
7.111E-1	1.044E-1
7.111E-1	1.044E-1
7.111E-1	1.044E-1
7.111E-1	1.044E-1
7.111E-1	1.044E-1
7.112E-1	1.044E-1
7.111E-1	1.044E-1
7.112E-1	1.045E-1
7.112E-1	1.045E-1
7.112E-1	1.045E-1
7.112E-1	1.044E-1
7.112E-1	1.044E-1
7.112E-1	1.045E-1
