C.D.S.  -  SIMBAD4 rel 1.8  -  2024.02.16CET12:23:02

coord 194.87996 27.96504 (FK5, 2000, 2000), radius: 30 arcmin
-------------------------------------------------------------

Number of objects : 3634

 #  |dist(asec)|             identifier              |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |  Mag B  |         morph. type         |       ang. size       
----|----------|-------------------------------------|---|---------------------------------------|------------|---------|-----------------------------|-----------------------
101 |    133.88|[MGH2010] J125932.38+280007.1        |G? |12 59 32.38 +28 00 07.1                |~           |     ~   |~ ~ ~                        |    ~     ~            
102 |    134.05|[UBM96] 16L                          |G  |12 59 32.205 +27 55 40.77              |~           |     ~   |~ ~ ~                        |    ~     ~            
103 |    134.55|2MASX J12592536+2756038              |GiC|12 59 25.3390430424 +27 56 04.172369748|0.02531     |18.094   |E/S0 D 2008A&A...490..923M   |0.143 0.143            
104 |    134.83|[MGH2010] J125941.09+275825.4        |G? |12 59 41.09 +27 58 25.4                |~           |     ~   |~ ~ ~                        |    ~     ~            
105 |    134.83|[EDG2007] 345                        |G  |12 59 40.76 +27 57 08.3                |0.0238      |20.525   |~ ~ ~                        |    ~     ~            
106 |    134.88|LEDA 44594                           |EmG|12 59 26.5981818744 +27 59 54.533097708|0.02224     |17.181   |S... D 2008A&A...490..923M   |0.217 0.160            
107 |    135.00|[EDG2007] 715                        |*  |12 59 32.11 +28 00 08.6                |~           |19.945   |~ ~ ~                        |    ~     ~            
108 |    136.40|[CTM2010] 195768                     |G  |12 59 40.73 +27 57 02.9                |~           |     ~   |E D 2010ApJ...723..251C      |    ~     ~            
109 |    137.07|[CG99] SA1656-22                     |G  |12 59 21.101 +27 57 23.80              |~           |24.33    |~ ~ ~                        |    ~     ~            
110 |    138.05|[CTM2010] 190875                     |G  |12 59 34.0430 +28 00 06.928            |0.0299      |     ~   |~ ~ ~                        |    ~     ~            
111 |    138.36|[AGO2007] 208                        |PN?|12 59 37.95 +27 56 08.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
112 |    138.74|[MGH2010] J125940.76+275850.5        |G? |12 59 40.76 +27 58 50.5                |~           |     ~   |~ ~ ~                        |    ~     ~            
113 |    139.48|[CTM2010] 1039188                    |G  |12 59 41.1987 +27 57 10.907            |0.02320     |     ~   |~ ~ ~                        |    ~     ~            
114 |    140.13|LEDA 126792                          |GiC|12 59 25.046 +27 59 48.22              |0.01828     |18.55    |E D 2007ApJS..169..225E      |0.3803 0.3750          
115 |    140.72|[EDG2007] 726                        |G  |12 59 27.32 +27 55 43.1                |~           |21.277   |~ ~ ~                        |    ~     ~            
116 |    141.85|[EDG2007] 304                        |*  |12 59 38.86 +27 56 15.2                |~           |     ~   |~ ~ ~                        |    ~     ~            
117 |    143.54|SDSS J125939.08+275932.4             |G  |12 59 39.087 +27 59 32.43              |~           |     ~   |~ ~ ~                        |    ~     ~            
118 |    143.88|[MGH2010] J125938.73+275937.7        |G? |12 59 38.73 +27 59 37.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
119 |    144.70|[UBM96] 11                           |G  |12 59 37.6 +27 55 57                   |~           |     ~   |~ ~ ~                        |    ~     ~            
120 |    144.79|[YKK2016] 375                        |LSB|12 59 37.223 +27 55 53.43              |~           |21.7     |~ ~ ~                        |0.090 0.090            
121 |    145.95|[UBM96] 13                           |G  |12 59 35.7 +27 55 41                   |~           |     ~   |~ ~ ~                        |    ~     ~            
122 |    146.79|GMP 3544                             |G  |12 59 20.6 +27 57 11                   |~           |     ~   |~ ~ ~                        |    ~     ~            
123 |    147.02|[CTM2010] 1041400                    |G  |12 59 41.6895 +27 58 41.757            |0.02329     |     ~   |~ ~ ~                        |    ~     ~            
124 |    147.60|[APS2006] 36392                      |GiC|12 59 20.061 +27 57 47.16              |0.0250      |23.12    |~ ~ ~                        |    ~     ~            
125 |    148.06|SN 2010ai                            |SN*|12 59 24.00 +27 59 47.5                |0.0184      |     ~   |~ ~ ~                        |    ~     ~            
126 |    150.19|GMP 3420                             |GiC|12 59 29.52 +28 00 22.7                |~           |     ~   |~ ~ ~                        |    ~     ~            
